

C=COMPOSITE  CL=COULOMB  OP=OP  DRK=DRAKE  FDR=FIITED DRAKE  HY=HYDROGENIC




    1  1S  TO  1P
    *************

   36   7.7467D+01  0.000  0.000  0.000  1.000  2.054
   37   7.1381D+01  0.000  0.000  0.000  1.000  2.051
   38   6.5915D+01  0.000  0.000  0.000  1.000  2.049
   39   6.0993D+01  0.000  0.000  0.000  1.000  2.047
   40   5.6548D+01  0.000  0.000  0.000  1.000  2.046


   12  1S  TO  1P
    *************

   NU    COMPOSITE  DRK/C   OP/C FDR/OP   CL/C   HY/C
   12   2.2393D+02  0.000  1.005  0.000  1.000  0.000
   13   8.7049D+02  0.000  1.011  0.000  1.000  3.519
   14   8.8057D+02  0.000  1.009  0.000  1.000  2.799
   15   7.7011D+02  0.000  1.008  0.000  1.000  2.557
   16   6.5637D+02  0.000  1.008  0.000  1.000  2.431
   17   5.5767D+02  0.000  1.006  0.000  1.000  2.353
   18   4.7539D+02  0.000  1.006  0.000  1.000  2.299
   19   4.0745D+02  0.000  1.006  0.000  1.000  2.259
   20   3.5134D+02  0.000  1.006  0.000  1.000  2.230
   21   3.0478D+02  0.000  1.007  0.000  1.000  2.206
   22   2.6595D+02  0.000  1.006  0.000  1.000  2.187
   23   2.3334D+02  0.000  1.006  0.000  1.000  2.171
   24   2.0579D+02  0.000  1.005  0.000  1.000  2.158
   25   1.8238D+02  0.000  1.006  0.000  1.000  2.147
   26   1.6236D+02  0.000  0.000  0.000  1.000  2.138
   27   1.4515D+02  0.000  0.000  0.000  1.000  2.130
   28   1.3028D+02  0.000  0.000  0.000  1.000  2.122
   29   1.1736D+02  0.000  0.000  0.000  1.000  2.116
   30   1.0609D+02  0.000  0.000  0.000  1.000  2.111
   31   9.6217D+01  0.000  0.000  0.000  1.000  2.106
   32   8.7526D+01  0.000  0.000  0.000  1.000  2.101
   33   7.9849D+01  0.000  0.000  0.000  1.000  2.097
   34   7.3042D+01  0.000  0.000  0.000  1.000  2.094
   35   6.6986D+01  0.000  0.000  0.000  1.000  2.091
   36   6.1580D+01  0.000  0.000  0.000  1.000  2.088
